ProvinceName,DistrictName,TurnoutPercent
Balkh,Khulm,30.38176743039127
Herat,Karrukh,30.27535003833528
Balkh,Chimtal,29.739459628540818
Takhar,Darqad,29.647585228137753
Kabul,QaraBagh,29.636851204722397
Faryab,Qurghan,29.407754860409526
Kabul,MirBachaKo,28.727261074714406
Kandahar,Miyanishin,28.43107493777056
Kapisa,Hissa-E-Duwu,28.4182048327881
Ghor,Pasaband,27.91115747218809
Balkh,DawlatAbad,27.89083605582665
Kunduz,Dasht-E-Archi,27.766419341078812
Nangarhar,BatiKot,27.386410653707916
Herat,Shindand,27.326283536128535
Badakhshan,Khash,27.291983957756077
Kabul,Paghman,27.236945071786867
Kabul,ShakarDara,26.579936754924095
Farah,ShibKoh,26.427494142577164
Parwan,SurkhiParsa,25.823523848649756
Kandahar,Zhire,25.804063911075332
Jawzjan,Faizabad,25.65825210744853
Kunduz,Qala-E-Zal,25.49237815527281
Ghazni,AbBand,25.154721254361498
Kunduz,Hazrat-E-Imam,24.911381023027154
Jawzjan,Darzab,24.56331879730953
Kunduz,KhanAbad,24.309010990586497
Kabul,Estalef,24.159221895826178
Faryab,DawlatAbad,23.6158069061682
Herat,Obe,22.945481405442887
Baghlan,Pul-E-Hisar,22.56862350114174
Jawzjan,Aqchah,22.527542491448
Badakhshan,Wardooj,22.029244955911903
Kabul,Guldara,22.013671546052688
Zabul,ShahJoi,21.811158359492303
Jawzjan,Khanaqa,21.577727017283383
Sar-E-Pul,Sayad,21.5504022002861
Zabul,Arghandab,21.078946296428242
Kunduz,CharDara,20.91147792329343
Nimroz,CharBurjak,20.85340452945443
Nangarhar,Lalpoor,20.19303720065064
Nangarhar,Achin,20.130382744059077
Badghis,Ghormach,20.114302881290303
Logar,Khushi,20.044241453402098
Kandahar,Arghandab,20.034976559574748
Wardak,Jalrez,19.95610799479783
Nangarhar,Shinwar,19.700997361918976
Laghman,Alingar,19.639411515053858
Nangarhar,Khugyani,19.58011820881553
Balkh,CharKent,19.337705228190497
Nimroz,Kang,19.327336029850265
Jawzjan,Mardyan,18.97994589397522
Zabul,Daichopan,18.93495500093721
Nangarhar,Kot,18.892039179860916
Paktya,Zurmat,18.68072919437166
Farah,Lash-E-Juwayn,18.588876116694202
Badghis,BalaMurgha,18.395161620547803
Nimroz,Asl-E-Chakhan,17.672976852170088
Helmand,Washer,16.92112997050983
Nangarhar,Hesarak,16.470880682298752
Nangarhar,PachirWaga,16.446968253898202
Jawzjan,Mingajik,15.899364619967722
Urozgan,KhasUrozgan,15.899261567385343
Kunar,GhaziAbad,15.851566882616272
Farah,Khak-E-Safed,15.270799874285926
Kandahar,Kandahar,15.055726795716437
Laghman,Alishing,14.897585350562828
Ghazni,DehYak,14.545077665998468
Logar,BarakiBarak,14.422110259575145
Logar,Charkh,14.309415035785632
Ghazni,Muqur,14.298150286557522
Ghazni,Ajristan,14.142268196967233
Nangarhar,SherZad,13.86964072140635
Ghazni,KhwajaOmar,13.50238414821757
Farah,AnarDara,13.306134260114092
Zabul,NawBahar,12.056615544810922
Badakhshan,Tagab,11.828167446986468
Farah,Qala-E-Kah,11.825891465491939
Ghazni,Gelan,11.281134574769398
Helmand,GarmSer,11.042595432988122
Farah,Bakwa,10.759922414733307
Badakhshan,Jurm,10.710608091203712
Helmand,Nawa-E-Barakzayi,10.591302154390508
Parwan,KohiSafi,10.502002065929679
Kandahar,Maiwand,10.170110817255216
Parwan,SyahgirdiGho,10.046585195641454
Urozgan,Tirinkot,9.816668634165158
Parwan,Shinwari,9.617012324790148
Helmand,NadAli,9.057758232986727
Farah,BalaBuluk,8.886969339326397
Zabul,ShemelZayi,8.854102688728402
Kapisa,Tagab,7.840842230169182
Farah,Pushtrud,7.621454836283197
Urozgan,Chora,7.499839115990156
Urozgan,Dehraoud,7.32145736141206
Helmand,Nahr-E-Saraj,7.075340308302524
Farah,Gulistan,5.241577550235888
Ghazni,Waghaz,5.120618714904018
Helmand,MusaQala,4.741775589676819
Urozgan,Shahid-E-Hass,4.168608115116702
Helmand,Kajaki,3.3086497697180235
Kandahar,Khakrez,3.073493117236756
Helmand,RegTETKhanNi,3.0648367082135572
Helmand,SanginQala,2.91365535704698
Ghazni,Rashidan,2.3841927038613866
Nimroz,Khashrod,2.2442395192614235
Helmand,Nawzad,1.2200415715598882
Logar,KharWar,0.9076899308109265
Nangarhar,DehBala,0.6328742608041008
Ghazni,Zanakhan,0.4555086199707326
Urozgan,Gizab,0.28431808851266976
Ghazni,Giro,0.16492024303200292
Ghazni,WaliMoham,0.1464889856198534
